Name,Description,styleUrl,Hours,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
MG รุ่งเจริญ สาขา ลาดกระบัง,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.722254<br>Longitude: 100.734428<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 118 kW, 200A
Type2: CLOSED
Parking","ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",13.722254,100.734428,EA,"
            100.734428,13.722254,0
          "
เบสท์ เอ็นเนอร์ยี่ พลัส สาขา 20 (ลาดกระบัง),"Hours: 24 Hr<br>Power: 110 kW<br>Description: Type2: 22 kW<br>CCS2: 110 kW, 200A, CLOSED<br>Parking<br>Address: ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.722308<br>Longitude: 100.735811<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,110 kW,"Type2: 22 kW
CCS2: 110 kW, 200A, CLOSED
Parking","ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",13.722308,100.735811,EA,"
            100.735811,13.722308,0
          "
เรนฟอเรสต์ มอลล์ (กิ่งแก้ว),"Hours: 24 Hr<br>Power: 40 kW<br>Description: CCS2: 2x 40 kW<br>Parking<br>Address: ราชาเทวะ, บางพลี, สมุทรปราการ<br>Latitude: 13.659204<br>Longitude: 100.716474<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,40 kW,"CCS2: 2x 40 kW
Parking","ราชาเทวะ, บางพลี, สมุทรปราการ",13.659204,100.716474,EA,"
            100.716474,13.659204,0
          "
อี-บัส ศาลายา (สเตชั่น 1),"Hours: 24 Hr<br>Power: 152 kW<br>Description: CCS2: 7x 152 kW, 200A<br>Parking<br>Address: มหาสวัสดิ์, พุทธมณฑล, นครปฐม<br>Latitude: 13.805297<br>Longitude: 100.269776<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,152 kW,"CCS2: 7x 152 kW, 200A
Parking","มหาสวัสดิ์, พุทธมณฑล, นครปฐม",13.805297,100.269776,EA,"
            100.269776,13.805297,0
          "
E-BUS ศาลายา (Station2),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 2x 150 kW, 200A<br>Parking<br>Address: มหาสวัสดิ์, พุทธมณฑล, นครปฐม<br>Latitude: 13.805557<br>Longitude: 100.269808<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 2x 150 kW, 200A
Parking","มหาสวัสดิ์, พุทธมณฑล, นครปฐม",13.805557,100.269808,EA,"
            100.269808,13.805557,0
          "
Caltex กิ่งแก้ว,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ราชาเทวะ, บางพลี, สมุทรปราการ<br>Latitude: 13.707565<br>Longitude: 100.736657<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 118 kW, 200A
Type2: CLOSED
Parking","ราชาเทวะ, บางพลี, สมุทรปราการ",13.707565,100.736657,EA,"
            100.736657,13.707565,0
          "
บิ๊กซี ร่มเกล้า,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 117 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: มีนบุรี, มีนบุรี, กรุงเทพมหานคร<br>Latitude: 13.809868<br>Longitude: 100.737612<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 117 kW, 200A
Type2: CLOSED
Parking","มีนบุรี, มีนบุรี, กรุงเทพมหานคร",13.809868,100.737612,EA,"
            100.737612,13.809868,0
          "
มังกรพลาซ่า แยกไปรษณีย์มีนบุรี,"Hours: Closed<br>Power: 22 kW<br>Description: Type2: 22 kW, CLOSED<br>CCS2: CLOSED<br>Parking Area<br>Address: มีนบุรี, มีนบุรี, กรุงเทพมหานคร<br>Latitude: 13.820733<br>Longitude: 100.73597<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,22 kW,"Type2: 22 kW, CLOSED
CCS2: CLOSED
Parking Area","มีนบุรี, มีนบุรี, กรุงเทพมหานคร",13.820733,100.73597,EA,"
            100.73597,13.820733,0
          "
ซัสโก้ สาขาบางบัวทอง(ไทรน้อย),"Hours: 24 Hr<br>Power: 110 kW<br>Description: Type2: 22 kW<br>CCS2: 2x 110 kW, 200A<br>Parking<br>Address: บางบัวทอง, บางบัวทอง, นนทบุรี<br>Latitude: 13.954106<br>Longitude: 100.367843<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,110 kW,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
Parking","บางบัวทอง, บางบัวทอง, นนทบุรี",13.954106,100.367843,EA,"
            100.367843,13.954106,0
          "
บิ๊กซี หทัยราษฎร์,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: บางชัน, คลองสามวา, กรุงเทพมหานคร<br>Latitude: 13.860382<br>Longitude: 100.720714<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 118 kW, 200A
Type2: CLOSED
Parking","บางชัน, คลองสามวา, กรุงเทพมหานคร",13.860382,100.720714,EA,"
            100.720714,13.860382,0
          "
Caltex บางพลี,"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 2x 75 kW<br>Type2: CLOSED<br>Parking<br>Address: บางพลีใหญ่, บางพลี, สมุทรปราการ<br>Latitude: 13.62869<br>Longitude: 100.707593<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 2x 75 kW
Type2: CLOSED
Parking","บางพลีใหญ่, บางพลี, สมุทรปราการ",13.62869,100.707593,EA,"
            100.707593,13.62869,0
          "
LPG ธัญสถิต ซอยร่มเกล้า 21/7,"Hours: Closed<br>Power: 150 kW<br>Description: Type2: 22 kW, CLOSED<br>CCS2: 150 kW, 200A, CLOSED<br>parking<br>Address: คลองสามประเวศ, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.751357<br>Longitude: 100.746597<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,150 kW,"Type2: 22 kW, CLOSED
CCS2: 150 kW, 200A, CLOSED
parking","คลองสามประเวศ, ลาดกระบัง, กรุงเทพมหานคร",13.751357,100.746597,EA,"
            100.746597,13.751357,0
          "
7-11 ร่มเกล้า23,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 117 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: คลองสามประเวศ, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.745205<br>Longitude: 100.746591<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 117 kW, 200A
Type2: CLOSED
Parking","คลองสามประเวศ, ลาดกระบัง, กรุงเทพมหานคร",13.745205,100.746591,EA,"
            100.746591,13.745205,0
          "
หจก. ไทยสัมพันธ์ บางปู,"Hours: 24 Hr<br>Power: 110 kW<br>Description: CCS2: 2x 110 kW, 200A<br>Type2: 22 kW<br>Parking<br>Address: ท้ายบ้าน, เมืองสมุทรปราการ, สมุทรปราการ<br>Latitude: 13.545004<br>Longitude: 100.618148<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,110 kW,"CCS2: 2x 110 kW, 200A
Type2: 22 kW
Parking","ท้ายบ้าน, เมืองสมุทรปราการ, สมุทรปราการ",13.545004,100.618148,EA,"
            100.618148,13.545004,0
          "
ศูนย์การค้า May Market ถ.บางนา-ตราด,"Hours: Off-peak<br>Power: 90 kW<br>Description: Type1: 22 kW, CLOSED<br>Type2: 22 kW, CLOSED<br>CCS2: 90 kW, 200A, CLOSED<br>parking<br>Address: บางพลีใหญ่, บางพลี, สมุทรปราการ<br>Latitude: 13.628836<br>Longitude: 100.718523<br>Provider: EA",#icon-1899-DB4436-labelson,Off-peak,90 kW,"Type1: 22 kW, CLOSED
Type2: 22 kW, CLOSED
CCS2: 90 kW, 200A, CLOSED
parking","บางพลีใหญ่, บางพลี, สมุทรปราการ",13.628836,100.718523,EA,"
            100.718523,13.628836,0
          "
MG นครหลวง (สาขาบางนา),"Hours: Peak<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางโฉลง, บางพลี, สมุทรปราการ<br>Latitude: 13.629758<br>Longitude: 100.719774<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","บางโฉลง, บางพลี, สมุทรปราการ",13.629758,100.719774,EA,"
            100.719774,13.629758,0
          "
เมืองโบราณ บางปู ST.1,"Hours: Peak<br>Power: 50 kW<br>Description: Type1: 11 kW<br>Type2: 2x 22 kW<br>CCS2: 2x 50 kW<br>parking<br>Address: บางปู, เมืองสมุทรปราการ, สมุทรปราการ<br>Latitude: 13.5393<br>Longitude: 100.622926<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,50 kW,"Type1: 11 kW
Type2: 2x 22 kW
CCS2: 2x 50 kW
parking","บางปู, เมืองสมุทรปราการ, สมุทรปราการ",13.5393,100.622926,EA,"
            100.622926,13.5393,0
          "
บิ๊กซี บางพลี,"Hours: 24 Hr<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางพลีใหญ่, บางพลี, สมุทรปราการ<br>Latitude: 13.602798<br>Longitude: 100.707389<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","บางพลีใหญ่, บางพลี, สมุทรปราการ",13.602798,100.707389,EA,"
            100.707389,13.602798,0
          "
อีบัส รังสิต บางพูน,"Hours: 24 Hr<br>Power: 300 kW<br>Description: CCS2: 6x 300 kW, 200A<br>Parking<br>Address: บางพูน, เมืองปทุมธานี, ปทุมธานี<br>Latitude: 13.996706<br>Longitude: 100.582167<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,300 kW,"CCS2: 6x 300 kW, 200A
Parking","บางพูน, เมืองปทุมธานี, ปทุมธานี",13.996706,100.582167,EA,"
            100.582167,13.996706,0
          "
Standard NGV (ปทุมธานีสายเก่า),"Hours: 24 Hr<br>Power: 55 kW<br>Description: CCS2: 2x 55 kW<br>Type2: CLOSED<br>Parking<br>Address: บางปรอก, เมืองปทุมธานี, ปทุมธานี<br>Latitude: 14.008741<br>Longitude: 100.532659<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,55 kW,"CCS2: 2x 55 kW
Type2: CLOSED
Parking","บางปรอก, เมืองปทุมธานี, ปทุมธานี",14.008741,100.532659,EA,"
            100.532659,14.008741,0
          "
บริษัท 909 มหาคุณ จำกัด,"Hours: 24 Hr<br>Power: 90 kW<br>Description: Type1: 22 kW<br>Type2: 22 kW<br>CCS2: 90 kW, 200A, CLOSED<br>Parking<br>Address: ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.721812<br>Longitude: 100.761461<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,90 kW,"Type1: 22 kW
Type2: 22 kW
CCS2: 90 kW, 200A, CLOSED
Parking","ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",13.721812,100.761461,EA,"
            100.761461,13.721812,0
          "
คาลเท็กซ์ เจ้าคุณ ออยล์ เจ้าคุณทหาร,"Hours: 24 Hr<br>Power: 110 kW<br>Description: CCS2: 2x 110 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: คลองสามประเวศ, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.753907<br>Longitude: 100.767286<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,110 kW,"CCS2: 2x 110 kW, 200A
Type2: CLOSED
Parking","คลองสามประเวศ, ลาดกระบัง, กรุงเทพมหานคร",13.753907,100.767286,EA,"
            100.767286,13.753907,0
          "
E-BUS อู่รังสิต 200ปี (Station 1),"Hours: 24 Hr<br>Power: 300 kW<br>Description: CCS2: 300 kW, 200A<br>Parking<br>Address: คลองหนึ่ง, คลองหลวง, ปทุมธานี<br>Latitude: 13.99601<br>Longitude: 100.60255<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,300 kW,"CCS2: 300 kW, 200A
Parking","คลองหนึ่ง, คลองหลวง, ปทุมธานี",13.99601,100.60255,EA,"
            100.60255,13.99601,0
          "
อีบัส เอกชัย สเตชั่น1,"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 7x 150 kW, 200A<br>parking<br>Address: โคกขาม, เมืองสมุทรสาคร, สมุทรสาคร<br>Latitude: 13.576467<br>Longitude: 100.309811<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 7x 150 kW, 200A
parking","โคกขาม, เมืองสมุทรสาคร, สมุทรสาคร",13.576467,100.309811,EA,"
            100.309811,13.576467,0
          "
อีบัส เอกชัย สเตชั่น2,"Hours: 24 Hr<br>Power: 300 kW<br>Description: CCS2: 2x 300 kW, 200A<br>parking<br>Address: โคกขาม, เมืองสมุทรสาคร, สมุทรสาคร<br>Latitude: 13.576461<br>Longitude: 100.309811<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,300 kW,"CCS2: 2x 300 kW, 200A
parking","โคกขาม, เมืองสมุทรสาคร, สมุทรสาคร",13.576461,100.309811,EA,"
            100.309811,13.576461,0
          "
E-BUS อู่รังสิต 200ปี (Station 2),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 150 kW, 200A, CLOSED<br>Parking<br>Address: คลองหนึ่ง, คลองหลวง, ปทุมธานี<br>Latitude: 13.996353<br>Longitude: 100.602464<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 150 kW, 200A, CLOSED
Parking","คลองหนึ่ง, คลองหลวง, ปทุมธานี",13.996353,100.602464,EA,"
            100.602464,13.996353,0
          "
ศูนย์การค้า Porto Chino St.1 มหาชัย,"Hours: 24 Hr<br>Power: 75 kW<br>Description: Type2: 22 kW<br>CCS2: 75 kW<br>Parking<br>Address: นาดี, เมืองสมุทรสาคร, สมุทรสาคร<br>Latitude: 13.568521<br>Longitude: 100.289781<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"Type2: 22 kW
CCS2: 75 kW
Parking","นาดี, เมืองสมุทรสาคร, สมุทรสาคร",13.568521,100.289781,EA,"
            100.289781,13.568521,0
          "
เอสเค โฮม,"Hours: Peak<br>Power: 110 kW<br>Description: Type2: 5 kW<br>CCS2: 2x 110 kW, 200A<br>parking<br>Address: บางโฉลง, บางพลี, สมุทรปราการ<br>Latitude: 13.623727<br>Longitude: 100.757497<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,110 kW,"Type2: 5 kW
CCS2: 2x 110 kW, 200A
parking","บางโฉลง, บางพลี, สมุทรปราการ",13.623727,100.757497,EA,"
            100.757497,13.623727,0
          "
หจก. พีอาร์กรุ๊ป 1998,"Hours: 24 Hr<br>Power: 58 kW<br>Description: CCS2: 2x 58 kW<br>Type2: 22 kW<br>Parking<br>Address: ทับยาว, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.719229<br>Longitude: 100.79471<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,58 kW,"CCS2: 2x 58 kW
Type2: 22 kW
Parking","ทับยาว, ลาดกระบัง, กรุงเทพมหานคร",13.719229,100.79471,EA,"
            100.79471,13.719229,0
          "
บิ๊กซี ไทรน้อย,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 117 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ไทรน้อย, ไทรน้อย, นนทบุรี<br>Latitude: 13.985333<br>Longitude: 100.319314<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 117 kW, 200A
Type2: CLOSED
Parking","ไทรน้อย, ไทรน้อย, นนทบุรี",13.985333,100.319314,EA,"
            100.319314,13.985333,0
          "
MG กรุงเทพ (สาขาสุวินทวงศ์),"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 117 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: โคกแฝด, หนองจอก, กรุงเทพมหานคร<br>Latitude: 13.809549<br>Longitude: 100.803471<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 117 kW, 200A
Type2: CLOSED
Parking","โคกแฝด, หนองจอก, กรุงเทพมหานคร",13.809549,100.803471,EA,"
            100.803471,13.809549,0
          "
โอสุ เนเจอรัล แก๊ส ซ.คลองหลวง 50,"Hours: 24 Hr<br>Power: 30 kW<br>Description: Type2: 11 kW<br>CCS2: 30 kW<br>parking<br>Address: คลองหนึ่ง, คลองหลวง, ปทุมธานี<br>Latitude: 14.035751<br>Longitude: 100.616568<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,30 kW,"Type2: 11 kW
CCS2: 30 kW
parking","คลองหนึ่ง, คลองหลวง, ปทุมธานี",14.035751,100.616568,EA,"
            100.616568,14.035751,0
          "
เอสที มอเตอร์สปอร์ต ถ.สุวินทวงศ์,"Hours: Closed<br>Power: 110 kW<br>Description: CCS2: 110 kW, 200A, CLOSED<br>Type2: 5 kW, CLOSED<br>Parking<br>Address: โคกแฝด, หนองจอก, กรุงเทพมหานคร<br>Latitude: 13.809473<br>Longitude: 100.808759<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,110 kW,"CCS2: 110 kW, 200A, CLOSED
Type2: 5 kW, CLOSED
Parking","โคกแฝด, หนองจอก, กรุงเทพมหานคร",13.809473,100.808759,EA,"
            100.808759,13.809473,0
          "
SUSCO สาขาทับยาว,"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 2x 75 kW<br>Type2: CLOSED<br>Parking<br>Address: ทับยาว, ลาดกระบัง, กรุงเทพมหานคร<br>Latitude: 13.713704<br>Longitude: 100.813221<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 2x 75 kW
Type2: CLOSED
Parking","ทับยาว, ลาดกระบัง, กรุงเทพมหานคร",13.713704,100.813221,EA,"
            100.813221,13.713704,0
          "
คาลเท็กซ์ บางนา-ตราด กม.20,"Hours: Closed<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางโฉลง, บางพลี, สมุทรปราการ<br>Latitude: 13.604462<br>Longitude: 100.776767<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","บางโฉลง, บางพลี, สมุทรปราการ",13.604462,100.776767,EA,"
            100.776767,13.604462,0
          "
สยามพรีเมียมเอ้าท์เล็ต,"Hours: Peak<br>Power: 38 kW<br>Description: CCS2: 38 kW<br>Type2: 2x 22 kW<br>Parking<br>Address: บางเสาธง, บางเสาธง, สมุทรปราการ<br>Latitude: 13.693468<br>Longitude: 100.829465<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,38 kW,"CCS2: 38 kW
Type2: 2x 22 kW
Parking","บางเสาธง, บางเสาธง, สมุทรปราการ",13.693468,100.829465,EA,"
            100.829465,13.693468,0
          "
E-BUS มีนบุรี (Station 1),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 5x 150 kW, 200A<br>Parking<br>Address: ลำผักชี, หนองจอก, กรุงเทพมหานคร<br>Latitude: 13.809186<br>Longitude: 100.832026<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 5x 150 kW, 200A
Parking","ลำผักชี, หนองจอก, กรุงเทพมหานคร",13.809186,100.832026,EA,"
            100.832026,13.809186,0
          "
E-BUS มีนบุรี (สเตชั่น 2),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 3x 150 kW, 200A<br>Parking<br>Address: ลำผักชี, หนองจอก, กรุงเทพมหานคร<br>Latitude: 13.809186<br>Longitude: 100.832026<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 3x 150 kW, 200A
Parking","ลำผักชี, หนองจอก, กรุงเทพมหานคร",13.809186,100.832026,EA,"
            100.832026,13.809186,0
          "
ม.ธรรมศาสตร์ศูนย์รังสิต ST.1,"Hours: 24 Hr<br>Power: 50 kW<br>Description: Type2: 22 kW<br>CCS2: 50 kW<br>Parking<br>Address: คลองหนึ่ง, คลองหลวง, ปทุมธานี<br>Latitude: 14.076432<br>Longitude: 100.596284<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,50 kW,"Type2: 22 kW
CCS2: 50 kW
Parking","คลองหนึ่ง, คลองหลวง, ปทุมธานี",14.076432,100.596284,EA,"
            100.596284,14.076432,0
          "
